"UGA: Thibodeaux, Matthew",,,,,,,,2400 College Station Road,,,,,,
"Crop & Soil Science, Levi Lab",,,,,,,,"Athens, GA 30602",,,,,,
GA,,,,,,,,706-542-5350,,,,,,
mlt10722@uga.edu,,,,,,,,soiltest@uga.edu,,,,,,
770-715-74470,,,,,,,,http://aesl.ces.uga.edu,,,,,,
"Received: Dec 22, 2025",,,,,,,,"Completed: Dec 23, 2025",,,,,,
,,,,,,,,,,,,,,
,,ppm CaCO3/pH,,,Mehlich 1   mg/kg (ppm),,,,,,,,,
24400,250332 - 6 - Ap,95,160,6.48,458.9,67.1,69.0,18.22,23.66,2.83,,,,
24401,250337 - 7 - Ap,155,381,6.17,834.4,125.4,136.6,39.83,32.19,4.41,,,,
24402,250344 - 10 - Ap,74,83,5.87,413.4,73.3,80.2,28.01,17.68,1.93,,,,
24403,250349 - 11 - Ap,92,149,5.88,283.6,45.6,48.9,18.32,15.30,1.43,,,,
24404,250354 - 12 - Ap,94,157,5.78,360.7,82.5,52.4,23.56,22.61,1.39,,,,
24405,250359 - 13 - Ap,69,65,6.52,331.0,53.5,64.4,16.68,15.32,1.27,,,,
24406,250365 - 14 - Ap,86,127,6.02,333.0,53.2,45.2,18.24,21.99,1.73,,,,
24407,250369 - 15 - Ap,113,227,5.68,300.9,61.0,42.9,25.76,11.12,2.14,,,,
24408,250374 - 20 - Ap,82,113,5.47,290.2,64.9,65.0,29.40,26.71,1.98,,,,
24409,250379 - 21 - Ap,71,72,5.78,265.8,27.9,69.2,15.55,17.93,0.93,,,,
24410,250384 - 22 - Ap,73,80,5.60,299.3,36.5,41.6,22.85,16.39,1.65,,,,
24411,250389 - 24 - Ap,81,109,5.18,297.8,39.5,22.1,24.15,55.42,4.25,,,,
24412,250395 - 25 - Ap1,86,127,6.12,493.1,294.5,77.0,27.68,36.06,3.76,,,,
24413,250396 - 25 - Ap2,96,164,6.08,292.8,46.2,44.6,14.96,37.82,1.68,,,,
24414,250402 - 31 - Ap1,91,146,5.99,420.5,116.2,58.4,28.11,25.87,2.05,,,,
24415,250403 - 31 - Ap2,119,249,5.88,379.1,152.5,62.1,24.48,18.72,1.25,,,,
24416,250407 - 32 - Ap,102,186,5.94,321.7,111.7,43.2,27.09,10.69,0.99,,,,
24417,250412 - 33 - Ap,87,131,6.38,376.3,44.3,98.4,16.08,16.17,1.44,,,,
24418,250417 - 35 - ^Ap,53,6,5.90,196.4,32.3,33.3,12.89,9.39,1.20,,,,
24419,250422 - 36 - Ap,112,223,6.85,448.5,52.0,86.6,17.64,21.58,1.66,,,,
24420,250427 - 41 - Ap,126,274,5.93,442.6,88.5,87.4,29.74,17.50,1.21,,,,
24421,250431 - 42 - Ap1,78,98,5.90,244.4,40.3,50.8,13.14,4.95,0.71,,,,
24422,250432 - 42 - Ap2,73,80,5.67,184.2,38.1,38.4,10.34,18.39,0.88,,,,
24423,250437 - 43 - Ap,86,127,6.30,346.9,43.4,52.7,10.66,23.16,1.18,,,,
24424,250442 - 45 - Ap1,125,271,5.57,340.2,79.2,62.3,24.57,9.42,3.74,,,,
24425,250443 - 45 - Ap2,82,113,5.35,194.5,22.9,40.2,17.32,7.73,1.87,,,,
24426,250447 - 46 - Ap,143,337,6.02,443.8,146.3,66.3,21.30,11.79,1.69,,,,
24427,250451 - 52 - Ap1,78,98,6.64,628.9,94.8,67.7,27.96,21.91,2.55,,,,
24428,250452 - 52 - Ap2,65,50,6.18,348.2,49.6,46.2,18.65,16.98,1.10,,,,
24429,250459 - 8 - Ap,66,54,6.18,280.4,79.9,31.2,12.05,20.54,1.53,,,,
24430,250463 - 49 - ^Ap,80,105,6.10,364.4,63.7,51.7,15.39,21.16,1.37,,,,
24431,250468 - 17 - Ap,58,25,5.81,245.8,53.9,28.3,14.63,14.47,1.37,,,,
24432,250473 - 48 - Ap,142,333,5.81,604.1,151.0,100.8,42.79,23.14,2.19,,,,
24433,250479 - 38 - Ap,85,124,5.11,187.6,43.7,24.2,16.46,27.74,1.90,,,,
24434,250484 - 16 - Ap,85,124,5.82,306.3,50.7,41.0,15.38,36.90,1.68,,,,
24435,250489 - 37 - Ap,81,109,6.29,380.2,55.4,50.3,15.46,18.68,1.98,,,,
24436,250493 - 47 - Ap,63,43,5.66,273.1,62.3,38.7,15.12,20.07,2.05,,,,
24437,250498 - 26 - Ap,54,10,6.53,442.9,68.0,51.5,19.01,20.58,2.27,,,,
24438,250503 - 19 - Ap,58,25,5.81,320.1,61.7,35.4,18.77,16.22,1.76,,,,
24439,250508 - 27 - Ap,89,138,5.93,342.9,68.6,62.9,17.10,8.72,1.34,,,,
24440,250512 - 9 - Ap,71,72,5.37,208.3,102.0,19.2,23.74,10.17,1.51,,,,
24441,250517 - 18 - Ap,65,50,6.12,247.0,48.5,30.9,11.90,19.58,1.34,,,,
24442,250522 - 28 - Ap1,85,124,6.00,394.9,125.5,60.8,20.10,14.82,2.59,,,,
24443,250523 - 28 - Ap2,76,91,5.73,240.2,56.9,50.2,17.18,9.02,1.22,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1. Soil Testing: Measurement of Lime Buffer Capacity (http://aesl.ces.uga.edu/publications/soilcirc/C874.html),,,,,,,,,,,,,,
2. Soil Testing: Soil pH and Salt Concentration (http://aesl.ces.uga.edu/publications/soilcirc/C875.html),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Test requested,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Lab 24347-24443 : S1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
